2025-08-05 18:23:01.036751+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.Rxsxc25s7g6XJoD                                     balanced   -    1      0       1       1        0
  local   temp.S4CBKlalYeT8npg                                     balanced   -    1      0       0       0        0
  local   temp.SCjZnlc+Tmma4wD                                     balanced   -    1      0       1       1        0
  local   temp.SLZqhvBD4livF7A                                     balanced   -    1      0       1       1        0
  local   temp.SU57twyqjHaEd8X                                     balanced   -    1      0       1       1        0
  local   temp.SV8r4bPRNsaznEp                                     balanced   -    1      0       1       1        0
  local   temp.SlOD9bw7ywQMciF                                     balanced   -    1      0       1       1        0
  local   temp.Slqz96dtkxEFx_m                                     balanced   -    1      0       0       0        0
  local   temp.Sno0DKF1MM3Gpgt                                     balanced   -    1      0       1       1        0
  local   temp.SrDrjP2RDdvaD5q                                     balanced   -    1      0       0       0        0
  local   temp.SvcnHjATgKHLK72                                     balanced   -    1      0       0       0        0
  local   temp.T1quqLxfoI2UF+H                                     balanced   -    1      0       0       0        0
  local   temp.T9WQNzQZBFfq1o8                                     balanced   -    1      0       1       1        0
  local   temp.TDKnHiL1P8y2GYj                                     balanced   -    1      0       0       0        0
  local   temp.TQlAawWQuZuLCvt                                     balanced   -    1      0       1       1        0
  local   temp.TTB8O0h+boTNbP+                                     balanced   -    1      0       1       1        0
  local   temp.TTb8m7VejcjRflI                                     balanced   -    1      0       1       1        0
  local   temp.TZHx7FpqqrQUb8K                                     balanced   -    1      0       1       1        0
  local   temp.TiovQ+kgi+8R8+W                                     balanced   -    1      0       0       0        0
  local   temp.Tlp4L1OELyHPdTF                                     balanced   -    1      0       1       1        0
  local   temp.TqZbwRQa13o6Snm                                     balanced   -    1      0       0       0        0
  local   temp.TytUmDtCRS1YumN                                     balanced   -    1      0       1       1        0
  local   temp.U+iKk91rd9hihrl                                     balanced   -    1      0       1       1        0
  local   temp.U6npmMGdWlrcFhk                                     balanced   -    1      0       0       0        0
  local   temp.UI2AAA86Yxn1g+O                                     balanced   -    1      0       1       1        0
  local   temp.UIZRLbsL9cReCcY                                     balanced   -    1      0       1       1        0
  local   temp.UMitEB62ZBHjyd1                                     balanced   -    1      0       1       1        0
  local   temp.UlFuBtEGM77GKSw                                     balanced   -    1      0       1       1        0
  local   temp.Un+wqudIwxdicaH                                     balanced   -    1      0       1       1        0
  local   temp.UqsZDRemGH9CH3E                                     balanced   -    1      0       1       1        0
  local   temp.Ur4aB3eQ7GLrRYa                                     balanced   -    1      0       1       1        0
  local   temp.V8QvVsLx+TUC06R                                     balanced   -    1      0       0       0        0
  local   temp.VapU2k8YBDI3YlZ                                     balanced   -    1      0       1       1        0
  local   temp.VasU58Yae88oMc4                                     balanced   -    1      0       1       1        0
  local   temp.Vp3okz_1F_RJ3re                                     balanced   -    1      0       0       0        0
  local   temp.VqHaRf4U4orcg9j                                     balanced   -    1      0       1       1        0
  local   temp.VtKUFohQHkCdItO                                     balanced   -    1      0       0       0        0
  local   temp.VtlSTF92_17WFFF                                     balanced   -    1      0       1       1        0
